bike_usage,hour,region,subzone
390,2023-01-08 00:00:00,lower_west_manhattan,NW
296,2023-01-08 01:00:00,lower_west_manhattan,NW
202,2023-01-08 02:00:00,lower_west_manhattan,NW
125,2023-01-08 03:00:00,lower_west_manhattan,NW
67,2023-01-08 04:00:00,lower_west_manhattan,NW
42,2023-01-08 05:00:00,lower_west_manhattan,NW
91,2023-01-08 06:00:00,lower_west_manhattan,NW
176,2023-01-08 07:00:00,lower_west_manhattan,NW
354,2023-01-08 08:00:00,lower_west_manhattan,NW
626,2023-01-08 09:00:00,lower_west_manhattan,NW
910,2023-01-08 10:00:00,lower_west_manhattan,NW
1178,2023-01-08 11:00:00,lower_west_manhattan,NW
1377,2023-01-08 12:00:00,lower_west_manhattan,NW
1514,2023-01-08 13:00:00,lower_west_manhattan,NW
1373,2023-01-08 14:00:00,lower_west_manhattan,NW
1390,2023-01-08 15:00:00,lower_west_manhattan,NW
1383,2023-01-08 16:00:00,lower_west_manhattan,NW
1139,2023-01-08 17:00:00,lower_west_manhattan,NW
1047,2023-01-08 18:00:00,lower_west_manhattan,NW
790,2023-01-08 19:00:00,lower_west_manhattan,NW
590,2023-01-08 20:00:00,lower_west_manhattan,NW
444,2023-01-08 21:00:00,lower_west_manhattan,NW
336,2023-01-08 22:00:00,lower_west_manhattan,NW
212,2023-01-08 23:00:00,lower_west_manhattan,NW
170,2023-01-09 00:00:00,lower_west_manhattan,NW
69,2023-01-09 01:00:00,lower_west_manhattan,NW
39,2023-01-09 02:00:00,lower_west_manhattan,NW
25,2023-01-09 03:00:00,lower_west_manhattan,NW
47,2023-01-09 04:00:00,lower_west_manhattan,NW
230,2023-01-09 05:00:00,lower_west_manhattan,NW
590,2023-01-09 06:00:00,lower_west_manhattan,NW
1178,2023-01-09 07:00:00,lower_west_manhattan,NW
1861,2023-01-09 08:00:00,lower_west_manhattan,NW
1308,2023-01-09 09:00:00,lower_west_manhattan,NW
826,2023-01-09 10:00:00,lower_west_manhattan,NW
866,2023-01-09 11:00:00,lower_west_manhattan,NW
1060,2023-01-09 12:00:00,lower_west_manhattan,NW
1134,2023-01-09 13:00:00,lower_west_manhattan,NW
1310,2023-01-09 14:00:00,lower_west_manhattan,NW
1400,2023-01-09 15:00:00,lower_west_manhattan,NW
1610,2023-01-09 16:00:00,lower_west_manhattan,NW
2197,2023-01-09 17:00:00,lower_west_manhattan,NW
2096,2023-01-09 18:00:00,lower_west_manhattan,NW
1448,2023-01-09 19:00:00,lower_west_manhattan,NW
949,2023-01-09 20:00:00,lower_west_manhattan,NW
652,2023-01-09 21:00:00,lower_west_manhattan,NW
489,2023-01-09 22:00:00,lower_west_manhattan,NW
276,2023-01-09 23:00:00,lower_west_manhattan,NW
133,2023-01-10 00:00:00,lower_west_manhattan,NW
81,2023-01-10 01:00:00,lower_west_manhattan,NW
46,2023-01-10 02:00:00,lower_west_manhattan,NW
37,2023-01-10 03:00:00,lower_west_manhattan,NW
48,2023-01-10 04:00:00,lower_west_manhattan,NW
282,2023-01-10 05:00:00,lower_west_manhattan,NW
714,2023-01-10 06:00:00,lower_west_manhattan,NW
1425,2023-01-10 07:00:00,lower_west_manhattan,NW
2329,2023-01-10 08:00:00,lower_west_manhattan,NW
1578,2023-01-10 09:00:00,lower_west_manhattan,NW
934,2023-01-10 10:00:00,lower_west_manhattan,NW
972,2023-01-10 11:00:00,lower_west_manhattan,NW
1049,2023-01-10 12:00:00,lower_west_manhattan,NW
1048,2023-01-10 13:00:00,lower_west_manhattan,NW
1213,2023-01-10 14:00:00,lower_west_manhattan,NW
1362,2023-01-10 15:00:00,lower_west_manhattan,NW
1793,2023-01-10 16:00:00,lower_west_manhattan,NW
2453,2023-01-10 17:00:00,lower_west_manhattan,NW
2430,2023-01-10 18:00:00,lower_west_manhattan,NW
