hour_sin,hour_cos,day_of_week,month,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_main
-0.5000000000000004,0.8660254037844384,0,1,12.51,10000.0,6.56,11.57,10.54,13.3,1020,67,3.1,240,0.0,0.0,0.0,0.0,0.0,100,Clouds
-0.25881904510252157,0.9659258262890681,0,1,12.17,10000.0,6.66,11.24,10.63,13.3,1020,69,4.47,360,6.71,0.0,0.0,0.0,0.0,100,Clouds
0.0,1.0,1,1,11.98,10000.0,6.69,11.06,11.1,13.19,1020,70,3.6,210,0.0,0.0,0.0,0.0,0.0,100,Clouds
0.25881904510252074,0.9659258262890683,1,1,11.84,10000.0,7.16,10.99,10.54,13.19,1021,73,4.1,210,0.0,0.0,0.0,0.0,0.0,100,Clouds
0.49999999999999994,0.8660254037844387,1,1,11.98,10000.0,7.5,11.17,10.47,12.87,1021,74,3.6,220,0.0,0.0,0.0,0.0,0.0,100,Rain
0.7071067811865475,0.7071067811865476,1,1,10.98,10000.0,8.21,10.3,9.97,12.31,1021,83,3.58,360,5.36,0.34,0.28,0.0,0.0,100,Rain
0.8660254037844386,0.5000000000000001,1,1,10.8,10000.0,8.03,10.1,9.42,11.79,1021,83,2.1,180,0.0,0.24,0.0,0.0,0.0,100,Rain
0.9659258262890683,0.25881904510252074,1,1,10.9,10000.0,8.13,10.21,9.91,11.76,1020,83,2.1,170,0.0,0.0,0.0,0.0,0.0,100,Clouds
1.0,6.123233995736766e-17,1,1,11.2,10000.0,8.06,10.49,9.99,12.19,1020,81,2.1,180,0.0,0.0,0.0,0.0,0.0,100,Clouds
0.9659258262890683,-0.25881904510252063,1,1,9.22,10000.0,6.13,7.24,8.25,11.19,1020,81,3.6,170,0.0,0.0,0.0,0.0,0.0,100,Clouds
0.8660254037844387,-0.4999999999999998,1,1,8.93,10000.0,6.2,7.17,7.76,10.84,1020,83,3.1,180,0.0,0.0,0.0,0.0,0.0,100,Clouds
0.7071067811865476,-0.7071067811865475,1,1,9.2,10000.0,6.98,7.49,7.76,10.53,1020,86,3.1,150,0.0,0.0,0.0,0.0,0.0,100,Clouds
0.49999999999999994,-0.8660254037844387,1,1,9.66,10000.0,7.26,7.78,8.25,10.53,1019,85,3.6,150,0.0,0.25,0.0,0.0,0.0,100,Rain
0.258819045102521,-0.9659258262890682,1,1,9.68,10000.0,7.28,7.56,8.25,10.68,1019,85,4.1,180,0.0,0.25,0.0,0.0,0.0,100,Rain
1.2246467991473532e-16,-1.0,1,1,9.01,4828.0,7.3,7.25,7.76,10.12,1018,89,3.13,123,3.58,0.42,0.0,0.0,0.0,100,Rain
-0.2588190451025208,-0.9659258262890683,1,1,8.51,4023.0,6.8,6.38,7.76,10.12,1017,89,3.6,180,0.0,0.23,0.0,0.0,0.0,100,Mist
-0.4999999999999997,-0.8660254037844388,1,1,9.32,4828.0,7.6,6.9,8.31,10.12,1016,89,4.6,160,0.0,0.0,0.0,0.0,0.0,100,Mist
-0.7071067811865471,-0.7071067811865479,1,1,9.31,4828.0,7.26,7.62,8.29,10.68,1016,87,3.1,50,0.0,0.0,0.28,0.0,0.0,100,Rain
-0.8660254037844384,-0.5000000000000004,1,1,8.79,1207.0,7.08,8.79,8.33,10.12,1016,89,0.89,321,2.68,3.52,0.0,0.0,0.0,100,Rain
-0.9659258262890683,-0.25881904510252063,1,1,9.57,805.0,8.18,8.61,8.86,10.68,1014,91,2.1,50,0.0,3.97,0.0,0.0,0.0,100,Rain
-1.0,-1.8369701987210297e-16,1,1,9.97,2414.0,8.41,8.67,8.73,11.08,1013,90,2.68,265,4.92,1.19,0.0,0.0,0.0,100,Rain
-0.9659258262890684,0.2588190451025203,1,1,10.48,4828.0,8.91,9.93,9.43,11.76,1012,90,4.02,360,7.6,0.24,0.0,0.0,0.0,100,Rain
-0.8660254037844386,0.5000000000000001,1,1,11.27,8047.0,9.69,10.8,9.98,12.19,1011,90,5.81,360,9.83,0.25,0.0,0.0,0.0,100,Mist
-0.7071067811865477,0.7071067811865474,1,1,11.66,8000.0,9.91,11.21,10.53,12.69,1010,89,3.6,170,0.0,0.0,0.0,0.0,0.0,100,Mist
-0.5000000000000004,0.8660254037844384,1,1,12.15,9656.0,10.73,11.8,10.55,13.19,1010,91,3.6,220,,0.0,0.0,0.0,0.0,100,Mist
-0.25881904510252157,0.9659258262890681,1,1,11.88,10000.0,10.29,11.47,10.55,12.75,1010,90,1.5,160,0.0,0.0,0.0,0.0,0.0,100,Clouds
0.0,1.0,2,1,12.0,8047.0,10.58,11.63,10.55,13.19,1010,91,2.1,110,0.0,0.0,0.0,0.0,0.0,100,Mist
0.25881904510252074,0.9659258262890683,2,1,11.6,8047.0,9.68,11.11,9.97,13.19,1010,88,3.13,360,6.71,0.0,0.0,0.0,0.0,20,Mist
0.49999999999999994,0.8660254037844387,2,1,10.36,10000.0,9.44,9.91,9.41,12.75,1010,94,4.6,190,0.0,0.0,0.0,0.0,0.0,100,Clouds
0.7071067811865475,0.7071067811865476,2,1,12.0,8047.0,10.74,11.66,9.42,12.75,1010,92,3.6,180,0.0,0.0,0.0,0.0,0.0,0,Mist
0.8660254037844386,0.5000000000000001,2,1,11.5,10000.0,10.41,11.13,8.87,12.69,1009,93,2.1,160,0.0,0.16,0.0,0.0,0.0,91,Rain
0.9659258262890683,0.25881904510252074,2,1,11.84,10000.0,10.75,11.51,9.99,13.54,1008,93,4.6,180,0.0,1.26,0.0,0.0,0.0,75,Rain
1.0,6.123233995736766e-17,2,1,12.0,10000.0,9.56,11.48,8.87,13.8,1009,85,7.15,360,11.18,1.44,0.0,0.0,0.0,100,Rain
