station_name,lat,lng
31 Ave & 57 St,40.757347107,-73.904671669
Webb Ave & W 190 St,40.866142869,-73.904200554
Crescent St & 30 Ave,40.768692,-73.9249574
Prospect Pl & Howard Ave,40.672575831,-73.91993165
W 204 St & Nagle Ave,40.863211,-73.920827
E 167 St & Franklin Ave,40.829074264,-73.905335188
Rogers Pl & E 165 St,40.82388366441761,-73.8974027708582
E 171 St & 3 Ave,40.837186217,-73.902207136
Brook Ave & E 138 St,40.807408,-73.91924
Jerome Ave & W Fordham Rd,40.86303401,-73.900784016
23 St & 3 Ave,40.662611,-73.998623
Greenwood Ave & E 4 St,40.650789499,-73.977747917
E 16 St & 5 Ave,40.737280607,-73.992585301
Warren St & Smith St,40.68542400997018,-73.99127773940563
E 3 St & Church Ave,40.643814802,-73.977532148
Ditmars Blvd & 19 St,40.781340122,-73.918146729
Suydam St & Broadway,40.69544,-73.93223
36 St & Ditmars Blvd,40.774306,-73.908335
W 89 St & Columbus Ave,40.7882213,-73.97041561
34 Ave & 48 St,40.75388,-73.914952
Hudson St & Reade St,40.716306925,-74.009134412
Wilson Ave & Troutman St,40.70166,-73.92754
Washington Square E,40.73049393,-73.9957214
39 Dr & 52 St,40.74732,-73.91197
Centre St & Worth St,40.715046763,-74.002285957
E 118 St & 3 Ave,40.799209595,-73.938977361
30 Ave & 41 St,40.763422,-73.914142
5 Ave & E 29 St,40.7451677,-73.98683077
E 50 St & Park Ave,40.757334,-73.974235
E 169 St & Webster Ave,40.834015,-73.908863
3 Ave & Carroll St,40.677027,-73.9865
University Ave & W Burnside Ave,40.855361581,-73.910455942
39 Ave & 45 St,40.749488711,-73.918245196
Bleecker St & Crosby St,40.72615604980408,-73.99510189890862
Sands St & Jay St,40.700110435,-73.985933423
Crescent St & Ditmars Blvd,40.778736115,-73.914580703
Clinton St & Centre St,40.67434,-74.00194698
55 St & Northern Blvd,40.75312829,-73.905897141
Myrtle Ave & Marcy Ave,40.69539817,-73.94954908
Pacific St & Thomas S. Boyland St,40.67568,-73.91396
Barry St & Tiffany St,40.816126,-73.891559
59 St & 5 Ave,40.640168309,-74.015764356
E 156 St & Courtlandt Ave,40.82123860172,-73.9173299074173
72 St & 41 Ave,40.744651437,-73.893821239
Bay St & Court St,40.671421409,-74.00155139
Andrew Ave N & Hall of Fame Tce,40.8584342,-73.909999013
Bushwick Ave & Linden St,40.69146,-73.92146
W 37 St & 5 Ave,40.75038009,-73.98338988
Monroe St & Patchen Ave,40.68814,-73.92693
10 Ave & W 207 St,40.864632,-73.918598
53 St & 4 Ave,40.644862,-74.014531
48 St & 2 Ave,40.65006125,-74.015574336
Fulton St & William St,40.70960089363537,-74.00655090808868
Decatur Ave & Oliver Pl,40.867,-73.8857764
E 25 St & 1 Ave,40.7381765,-73.97738662
Columbia Heights & Cranberry St,40.700379,-73.995481
Webster Ave & Ford St,40.855450869,-73.89621067
47 Ave & Skillman Ave,40.743720055,-73.941850185
Bailey Ave & W 193 St,40.87069,-73.90678
Weeks Ave & E 175 St,40.846879,-73.907342
Tinton Ave & E 165 St,40.82483089,-73.902443886
31 St & Astoria Blvd,40.7699176,-73.9184057
Queens Blvd & 56 St,40.741932511,-73.908886194
E 134 St & Walnut Ave,40.800425,-73.911034
Herkimer St & Eastern Pkwy,40.67738,-73.90829
Amsterdam Ave & W 125 St,40.813358,-73.956461
Grand St & Elizabeth St,40.718822,-73.99596
5 St & Market St,40.6999974843885,-73.97440128028393
E 44 St & Lexington Ave,40.752643,-73.974996
Lefferts Pl & Franklin Ave,40.680244923,-73.955939412
Montrose Ave & Bushwick Ave,40.70767788,-73.94016171
E 10 St & 2 Ave,40.72970805644994,-73.9865979552269
Perry St & Greenwich Ave,40.73593545,-74.000877738
Steinway St & 28 Ave,40.7656251,-73.9136695
Wards Meadow Comfort Station,40.783002734,-73.930675149
Adam Clayton Powell Blvd & W 130 St,40.812346,-73.946168
Amsterdam Ave & W 119 St,40.80854404,-73.959682226
21 St & 36 Ave,40.7601853,-73.9362726
Hudson St & W 13 St,40.74005708567285,-74.0052741765976
Stagg St & Morgan Ave,40.710681,-73.93372
Leonard St & Maujer St,40.710328341,-73.946982861
Hancock St & Wyckoff Ave,40.6972,-73.90674
Driggs Ave & N Henry St,40.72325,-73.94308
DeKalb Ave & Vanderbilt Ave,40.689390898,-73.968931913
S 4 St & Rodney St,40.70934,-73.95608
Adam Clayton Powell Blvd & W 123 St,40.807739496,-73.949050069
Adam Clayton Powell Blvd & W 151 St,40.825297832,-73.936254621
30 Ave & 47 St,40.761294,-73.909562
W 11 St & 6 Ave,40.735324,-73.998004
Madison Ave & E 120 St,40.80295,-73.942954
Greenpoint Ave & Manhattan Ave,40.73026,-73.95394
E 7 St & Avenue A,40.72621788,-73.98379855
E 81 St & 3 Ave,40.77573034,-73.9567526
4 Ave & Shore Road Dr,40.637033,-74.022141
Willoughby Ave & Wyckoff Ave,40.705614,-73.92153
8 Ave & W 31 St,40.7505853470215,-73.9946848154068
Grand Ave & W 181 St,40.85629189,-73.907375216
E 41 St & Madison Ave (SW corner),40.752165280621966,-73.97992193698882
W 17 St & 8 Ave,40.74177603,-74.00149746
Peck Slip & South St,40.707799435,-74.00131464
Riverside Dr & W 148 St,40.829246163,-73.95034039
Bergen St & Vanderbilt Ave,40.679402947,-73.967800617
Knickerbocker Ave & Thames St,40.705511689,-73.929879546
Southern Blvd & E 149 St,40.811840773,-73.904167652
Vernon Blvd & 47 Rd,40.7449067,-73.9534573
Clay Ave & E 173 St,40.843264,-73.904867
Center Blvd & 51 Ave,40.74336608027021,-73.95960688591003
8 Ave & W 38 St,40.754410625,-73.992011666
South St & Pike St,40.70991806921533,-73.99161100387573
Fairview Ave & Linden St,40.707049966,-73.906176567
E Tremont Ave & Jerome Ave,40.851674199,-73.908850312
3 Ave & E 62 St,40.76312584,-73.96526895
E 25 St & 2 Ave,40.738910198,-73.979758859
W 52 St & 6 Ave,40.76132983124814,-73.97982001304626
St James Pl & Pearl St,40.711162329,-74.000311136
Henry St & Middagh St,40.700357437,-73.991422892
Washington Pl & 6 Ave,40.73224119,-74.00026394
Park Pl & Franklin Ave,40.6741806,-73.9564947
34 Ave & 31 St,40.759604471387945,-73.92714411020279
Windsor Pl & Howard Pl,40.65949055893896,-73.98013919591904
Flushing Ave & Woodward Ave,40.712418556,-73.91876781
W 20 St & 10 Ave,40.745686,-74.005141
W 54 St & 9 Ave,40.765815139,-73.986789227
Fulton St & Adams St,40.69241829257847,-73.98949474096298
Adam Clayton Powell Blvd & W 126 St,40.809248924,-73.94784224
3 St & 7 Ave,40.6703837,-73.97839676
Church St & Worth St,40.716993332,-74.006334424
5 Ave & E 63 St,40.766397953,-73.971589208
Morris Ave & E 171 St,40.83902061,-73.910863996
Lenox Ave & W 117 St,40.8025566,-73.9490782
Pleasant Ave & E 116 St,40.7949879,-73.9333349
Hudson Blvd W & W 36 St,40.756924987,-73.999601007
Grand Army Plaza & Plaza St West,40.6729679,-73.97087984
W 13 St & 7 Ave,40.73781509,-73.99994661
E 15 St & 3 Ave,40.734178185,-73.987047791
Halsey St & Evergreen Ave,40.68858,-73.91227
5 Ave & E 103 St,40.7922553,-73.95249933
11 Ave & W 27 St,40.751396,-74.005226
Vernon Blvd & 50 Ave,40.74232744,-73.95411749
Thomas S. Boyland St & Marion St,40.681601048,-73.914065003
Mott St & Prince St,40.723111272,-73.99493885
W 41 St & 8 Ave,40.75640548,-73.9900262
Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915
Bridge St & Water St,40.70296934155272,-73.98469090461731
Broadway & W 138 St,40.821633339,-73.953632116
E 85 St & East End Ave,40.77431811327392,-73.94548773765564
Bayard St & Baxter St,40.71602118,-73.99974372
Broadway & W 53 St,40.76344058,-73.98268129
E 53 St & 3 Ave,40.757511854,-73.969077706
Cooper Square & Astor Pl,40.72951496224949,-73.99075269699097
Lewis Ave & Madison St,40.686312,-73.935775
Morgan Ave & Maspeth Ave,40.716657,-73.93637
Carroll St & Rochester Ave,40.666050434,-73.92837894
Monroe St & Bedford Ave,40.6851443,-73.95380904
Scholes St & Manhattan Ave,40.70870368,-73.9448625
W 22 St & 10 Ave,40.74691959,-74.00451887
Sharon St & Olive St,40.71534162042448,-73.93865078687668
Central Ave & Decatur St,40.6882,-73.90798
57 St & 1 Ave,40.646377,-74.023087
Central Ave & Flushing Ave,40.702831,-73.9333
Harrison Pl & Porter Ave,40.706894994,-73.92847681
Westchester Ave & Southern Blvd,40.824966788,-73.891682267
7 St & 3 Ave,40.67260298150126,-73.98983001708984
Evergreen Ave & Noll St,40.70106,-73.93318
E 3 St & 1 Ave,40.72467721,-73.98783413
New York Ave & St Marks Ave,40.67514,-73.94716
Kane St & Clinton St,40.6861758,-73.99645295
35 St & 23 Ave,40.772941351,-73.911354899
Troy Ave & Park Pl,40.67251,-73.93642
Central Park West & W 68 St,40.7734066,-73.97782542
W 67 St & Broadway,40.77492513,-73.98266566
6 St & 7 Ave,40.668750763,-73.980013013
E 32 St & Park Ave,40.7457121,-73.98194829
Columbus Ave & W 95 St,40.7919557,-73.968087
W 53 St & 10 Ave,40.76669671,-73.99061728
W 107 St & Columbus Ave,40.799805403,-73.962078691
E 5 St & Cooper Sq,40.72769,-73.990993
E 55 St & 2 Ave,40.75797322,-73.96603308
E 160 St & Tinton Ave,40.82023108,-73.903865337
Whitehall St & Bridge St,40.70366170524135,-74.0131813287735
Wolcott St & Dwight St,40.6753274,-74.0100698
31 Ave & 14 St,40.7682,-73.9322662
West St & Liberty St,40.711444,-74.014847
Harrison St & Hudson St,40.718789697,-74.009055734
Pleasant Ave & E 120 St,40.7974772,-73.9311847
Boerum St & Broadway,40.70538077,-73.94976519
Van Dam St & Greenpoint Ave,40.734523177,-73.937826276
Riverside Dr & W 78 St,40.78414472,-73.98362492
Jerome Ave & E 164 St,40.831444,-73.926226
Putnam Ave & Throop Ave,40.685166955,-73.941200972
Willoughby St & Fleet St,40.69196566,-73.9813018
W 116 St & Amsterdam Ave,40.8067581,-73.9607082
Montague St & Clinton St,40.694168806,-73.992102504
W 63 St & Broadway,40.771686077,-73.982769132
Avenue D & E 3 St,40.720890999,-73.978158116
Sterling Pl & 5 Ave,40.679005504,-73.978327155
Roebling St & N 4 St,40.71469,-73.95739
Forest Ave & Summerfield St,40.69922,-73.89795
Crotona Park North & Prospect Ave,40.841159344,-73.892497659
Old Slip & South St,40.703754544,-74.008142233
Spring St & Hudson St,40.72583996792375,-74.0076532959938
46 Ave & 5 St,40.747267008,-73.954433918
7 Ave & 62 St,40.635497332,-74.013089061
E 7 St & Ave B,40.7251285241158,-73.98131668567657
10 St & 7 Ave,40.666197181,-73.981958032
Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773
Albany Ave & Park Pl,40.673089862,-73.93903327
George St & Wilson Ave,40.702997,-73.92997
Madison St & Forest Ave,40.70555,-73.90245
7 Ave & 20 St,40.659053,-73.98854
2 Ave & E 104 St,40.789128423,-73.943727136
Lenox Ave & W 130 St,40.810724497,-73.943194389
41 St & 4 Ave,40.651354,-74.007168
39 St & 47 Ave,40.74215636827728,-73.92662644386292
Prospect Ave & Longwood Ave,40.81899,-73.90202
E 106 St & 2 Ave,40.790586067792006,-73.94195795059204
Broadway & W 220 St,40.872412,-73.912807
Gerard Ave & McClellan St,40.834102511,-73.921122551
Jerome Ave & W 184 St,40.860814,-73.902541
